Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Star Wars: Episode VII - The Force Awakens	$936,662,225	4,134	$247,966,675	4,134	Dec 18, 2015	Walt Disney Studios Motion Pictures	Bad Robot
2	Star Wars: Episode IX - The Rise of Skywalker	$515,202,542	4,406	$177,383,864	4,406	Dec 20, 2019	Walt Disney Studios Motion Pictures	Bad Robot
3	Star Trek	$257,730,019	4,053	$75,204,289	3,849	May 8, 2009	Paramount Pictures	Bad Robot
4	Star Trek Into Darkness	$228,778,661	3,907	$70,165,559	3,868	May 16, 2013	Paramount Pictures	Bad Robot
5	Mission: Impossible - Fallout	$220,159,104	4,395	$61,236,534	4,386	Jul 27, 2018	Paramount Pictures	Bad Robot
6	Mission: Impossible - Ghost Protocol	$209,397,903	3,555	$12,785,204	425	Dec 16, 2011	Paramount Pictures	Bad Robot
7	Mission: Impossible - Rogue Nation	$195,042,377	3,988	$55,520,089	3,956	Jul 31, 2015	Paramount Pictures	Bad Robot
8	Star Trek Beyond	$158,848,340	3,928	$59,253,211	3,928	Jul 22, 2016	Paramount Pictures	Bad Robot
9	Super 8	$127,004,179	3,424	$35,451,168	3,379	Jun 10, 2011	Paramount Pictures	Bad Robot
10	Cloverfield	$80,048,433	3,411	$40,058,229	3,411	Jan 18, 2008	Paramount Pictures	Bad Robot
11	10 Cloverfield Lane	$72,082,998	3,427	$24,727,437	3,391	Mar 11, 2016	Paramount Pictures	Bad Robot
12	Morning Glory	$31,011,732	2,544	$9,203,266	2,518	Nov 10, 2010	Paramount Pictures	Bad Robot
13	Joy Ride	$21,974,919	2,522	$7,347,259	2,497	Oct 5, 2001	Twentieth Century Fox	Bad Robot
14	Overlord	$21,704,844	2,859	$10,202,108	2,859	Nov 9, 2018	Paramount Pictures	Bad Robot
15	Infinitely Polar Bear	$1,430,655	110	$47,000	5	Jun 19, 2015	Sony Pictures Classics	Bad Robot
