Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Jurassic World	$652,270,625	4,291	$208,806,270	4,274	Jun 12, 2015	Universal Pictures	Legendary Pictures
2	The Dark Knight	$533,345,358	4,366	$158,411,483	4,366	Jul 18, 2008	Warner Bros.	Legendary Pictures
3	The Dark Knight Rises	$448,139,099	4,404	$160,887,295	4,404	Jul 20, 2012	Warner Bros.	Legendary Pictures
4	Jurassic World: Fallen Kingdom	$417,719,760	4,485	$148,024,610	4,475	June 22, 2018	Universal Pictures	Legendary Pictures
5	Inception	$292,576,195	3,792	$62,785,337	3,792	Jul 16, 2010	Warner Bros.	Legendary Pictures
6	Man of Steel	$291,045,518	4,207	$116,619,362	4,207	June 14, 2013	Warner Bros.	Legendary Pictures
7	The Hangover	$277,322,503	3,545	$44,979,319	3,269	Jun 5, 2009	Warner Bros.	Legendary Pictures
8	The Hangover Part II	$254,464,305	3,675	$85,946,294	3,615	May 26, 2011	Warner Bros.	Legendary Pictures
9	300	$210,614,939	3,280	$70,885,301	3,103	Mar 9, 2007	Warner Bros.	Legendary Pictures
10	Batman Begins	$205,343,774	3,858	$48,745,440	3,858	Jun 15, 2005	Warner Bros.	Legendary Pictures
11	Godzilla	$200,676,069	3,952	$93,188,384	3,952	May 16, 2014	Warner Bros.	Legendary Pictures
12	Superman Returns	$200,081,192	4,065	$52,535,096	4,065	June 28, 2006	Warner Bros.	Legendary Pictures
13	Interstellar	$188,020,017	3,561	$47,510,360	3,561	Nov 5, 2014	Paramount Pictures	Legendary Pictures
14	Kong: Skull Island	$168,052,812	3,846	$61,025,472	3,846	Mar 10, 2017	Warner Bros.	Legendary Pictures
15	Clash of the Titans	$163,214,888	3,802	$61,235,105	3,777	Apr 2, 2010	Warner Bros.	Legendary Pictures
16	Straight Outta Compton	$161,197,785	3,142	$60,200,180	2,757	August 14, 2015	Universal Pictures	Legendary Pictures
17	Pokémon Detective Pikachu	$144,105,346	4,248	$54,365,242	4,202	May 10, 2019	Warner Bros.	Legendary Pictures
18	Mamma Mia! Here We Go Again	$120,634,935	3,514	$34,952,180	3,317	Jul 20, 2018	Universal Pictures	Legendary Pictures
19	Unbroken	$115,637,895	3,301	$30,621,445	3,131	Dec 25, 2014	Universal Pictures	Legendary Pictures
20	The Hangover Part III	$112,200,072	3,565	$41,671,198	3,555	May 23, 2013	Warner Bros.	Legendary Pictures
21	Godzilla: King of the Monsters	$110,500,138	4,108	$47,776,293	4,108	May 31, 2019	Warner Bros.	Legendary Pictures
22	Watchmen	$107,509,799	3,611	$55,214,334	3,611	Mar 6, 2009	Warner Bros.	Legendary Pictures
23	300: Rise of an Empire	$106,580,051	3,490	$45,038,460	3,470	Mar 7, 2014	Warner Bros.	Legendary Pictures
24	Pacific Rim	$101,802,906	3,285	$37,285,325	3,275	Jul 12, 2013	Warner Bros.	Legendary Pictures
25	Due Date	$100,539,043	3,365	$32,689,406	3,355	November 5, 2010	Warner Bros.	Legendary Pictures
26	42	$95,020,213	3,405	$27,487,144	3,003	Apr 12, 2013	Warner Bros.	Legendary Pictures
27	10,000 BC	$94,784,201	3,454	$35,867,488	3,410	Mar 7, 2008	Warner Bros.	Legendary Pictures
28	The Town	$92,186,262	2,935	$23,808,032	2,861	Sep 17, 2010	Warner Bros.	Legendary Pictures
29	Wrath of the Titans	$83,670,083	3,545	$33,457,188	3,545	Mar 30, 2012	Warner Bros.	Legendary Pictures
30	Where the Wild Things Are	$77,233,467	3,735	$32,695,407	3,735	Oct 16, 2009	Warner Bros.	Legendary Pictures
