Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	The Longest Yard	$158,119,460	3,654	$47,606,480	3,634	May 27, 2005	Paramount Pictures	MTV
2	Blades of Glory	$118,594,548	3,467	$33,014,202	3,372	Mar 30, 2007	DreamWorks	MTV
3	Jackass 3D	$117,229,692	3,139	$50,353,641	3,081	Oct 15, 2010	Paramount Pictures	MTV
4	Bad Grandpa	$102,003,019	3,345	$32,055,177	3,336	October 25, 2013	Paramount Pictures	MTV
5	Save the Last Dance	$91,057,006	2,570	$23,444,930	2,230	Jan 12, 2001	Paramount Pictures	MTV
6	Justin Bieber: Never Say Never	$73,013,910	3,118	$29,514,054	3,105	February 11, 2011	Paramount Pictures	MTV
7	Jackass Number Two	$72,778,712	3,063	$29,002,002	3,059	Sep 22, 2006	Paramount Pictures	MTV
8	Coach Carter	$67,264,877	2,574	$24,182,961	2,524	Jan 14, 2005	Paramount Pictures	MTV
9	Jackass: The Movie	$64,255,312	2,532	$22,763,437	2,509	Oct 25, 2002	Paramount Pictures	MTV
10	Beavis and Butt-Head Do America	$63,118,386	2,417	$20,114,233	2,190	Dec 20, 1996	Paramount Pictures	MTV
11	Varsity Blues	$52,894,169	2,364	$15,204,148	2,121	Jan 15, 1999	Paramount Pictures	MTV
12	Footloose2011 Re-release	$51,802,742	3,555	$15,556,113	3,549	October 14, 2011	Paramount Pictures	MTV
13	Napoleon Dynamite	$44,540,956	1,027	$116,666	6	Jun 11, 2004	Fox Searchlight Pictures	MTV
14	Orange County	$41,076,018	2,317	$15,053,226	2,317	Jan 11, 2002	Paramount Pictures	MTV
15	The Original Kings of Comedy	$38,182,790	1,082	$11,053,832	847	Aug 18, 2000	Paramount Pictures	MTV
16	Crossroads	$37,191,304	2,713	$14,527,187	2,380	February 15, 2002	Paramount Pictures	MTV
17	Freedom Writers	$36,605,602	2,286	$9,405,582	1,360	Jan 5, 2007	Paramount Pictures	MTV
18	Get Rich or Die Tryin'	$30,985,352	1,666	$12,020,807	1,652	Nov 9, 2005	Paramount Pictures	MTV
19	The Fighting Temptations	$30,250,745	2,026	$11,758,372	2,026	Sep 19, 2003	Paramount Pictures	MTV
20	Æon Flux	$25,874,337	2,608	$12,661,112	2,608	Dec 2, 2005	Paramount Pictures	MTV
21	Dance Flick	$25,662,155	2,459	$10,643,536	2,450	May 22, 2009	Paramount Pictures	MTV
22	Katy Perry: Part of Me	$25,326,071	2,732	$7,138,266	2,730	Jul 5, 2012	Paramount Pictures	MTV
23	The Wood	$25,059,640	1,191	$8,515,223	1,191	Jul 16, 1999	Paramount Pictures	MTV
24	Hustle & Flow	$22,202,809	1,016	$8,017,808	1,013	Jul 22, 2005	Paramount Classics	MTV
25	Martin Lawrence Live: Runteldat	$19,184,820	774	$7,374,049	752	August 2, 2002	Paramount Pictures	MTV
26	Dead Man on Campus	$15,064,946	1,830	$4,704,688	1,797	Aug 21, 1998	Paramount Pictures	MTV
27	Election	$14,902,041	827	$119,080	6	Apr 23, 1999	Paramount Pictures	MTV
28	Stop-Loss	$10,915,744	1,305	$4,555,117	1,291	Mar 28, 2008	Paramount Pictures	MTV
29	The Perfect Score	$10,391,003	2,208	$4,873,819	2,208	Jan 30, 2004	Paramount Pictures	MTV
30	Tupac: Resurrection	$7,718,961	804	$4,632,847	801	Nov 14, 2003	Paramount Pictures	MTV
31	How She Move	$7,070,641	1,531	$3,957,471	1,531	Jan 25, 2008	Paramount Vantage	MTV
32	200 Cigarettes	$6,852,450	978	$3,244,277	976	Feb 26, 1999	Paramount Pictures	MTV
33	Joe's Apartment	$4,619,014	1,512	$1,854,490	1,512	Jul 26, 1996	Warner Bros.	MTV
34	Better Luck Tomorrow	$3,802,390	387	$360,772	13	Apr 11, 2003	Paramount Pictures	MTV
35	Pootie Tang	$3,313,583	712	$1,506,233	712	Jun 29, 2001	Paramount Pictures	MTV
36	Murderball	$1,531,154	97	$57,286	8	Jul 8, 2005	THINKFilm	MTV
