Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Get Out	$176,040,665	3,143	$33,377,060	2,781	Feb 24, 2017	Universal Pictures	Blumhouse Productions
2	Halloween	$159,342,015	3,990	$76,221,545	3,928	Oct 19, 2018	Universal Pictures	Blumhouse Productions
3	Split	$138,291,365	3,373	$40,010,975	3,038	Jan 20, 2017	Universal Pictures	Blumhouse Productions
4	Glass	$111,048,468	3,844	$40,328,920	3,841	January 18, 2019	Universal Pictures	Blumhouse Productions
5	Paranormal Activity	$107,918,810	2,712	$77,873	12	Sep 25, 2009	Paramount Pictures	Blumhouse Productions
6	Paranormal Activity 3	$104,028,807	3,329	$52,568,183	3,321	October 21, 2011	Paramount Pictures	Blumhouse Productions
7	Paranormal Activity 2	$84,752,907	3,239	$40,678,424	3,216	Oct 22, 2010	Paramount Pictures	Blumhouse Productions
8	Insidious: Chapter 2	$83,586,447	3,155	$40,272,103	3,049	Sep 13, 2013	FilmDistrict	Blumhouse Productions
9	The Purge: Election Year	$79,213,375	2,821	$31,515,110	2,796	Jul 1, 2016	Universal Pictures	Blumhouse Productions
10	The Purge: Anarchy	$71,962,800	2,856	$29,816,675	2,805	Jul 18, 2014	Universal Pictures	Blumhouse Productions
11	The First Purge	$69,488,745	3,038	$17,374,280	3,031	Jul 4, 2018	Universal Pictures	Blumhouse Productions
12	Insidious: The Last Key	$67,745,330	3,150	$29,581,355	3,116	January 5, 2018	Universal Pictures	Blumhouse Productions
13	The Visit	$65,206,105	3,148	$25,427,560	3,069	Sep 11, 2015	Universal Pictures	Blumhouse Productions
14	The Invisible Man	$64,914,050	3,636	$28,205,665	3,610	Feb 28, 2020	Universal Pictures	Blumhouse Productions
15	The Purge	$64,473,115	2,591	$34,058,360	2,536	Jun 7, 2013	Universal Pictures	Blumhouse Productions
16	Happy Death Day	$55,683,845	3,535	$26,039,025	3,149	October 13, 2017	Universal Pictures	Blumhouse Productions
17	Insidious	$54,009,150	2,419	$13,271,464	2,408	Apr 1, 2011	FilmDistrict	Blumhouse Productions
18	Paranormal Activity 4	$53,885,000	3,412	$29,003,866	3,412	Oct 19, 2012	Paramount Pictures	Blumhouse Productions
19	Insidious: Chapter 3	$52,218,558	3,014	$22,692,741	3,002	Jun 5, 2015	Focus Features	Blumhouse Productions
20	Ouija	$50,856,010	2,899	$19,875,995	2,858	Oct 24, 2014	Universal Pictures	Blumhouse Productions
21	BlacKkKlansman	$49,275,340	1,914	$10,845,330	1,512	Aug 10, 2018	Focus Features	Blumhouse Productions
22	Sinister	$48,086,903	2,542	$18,007,634	2,527	Oct 12, 2012	Lionsgate	Blumhouse Productions
23	Ma	$45,896,028	2,816	$18,099,805	2,808	May 31, 2019	Universal Pictures	Blumhouse Productions
24	The Gift	$43,787,265	2,503	$11,854,273	2,503	Aug 7, 2015	STX Entertainment	Blumhouse Productions
25	Truth or Dare	$41,411,015	3,068	$18,667,855	3,029	April 13, 2018	Universal Pictures	Blumhouse Productions
26	The Boy Next Door	$35,423,380	2,615	$14,910,105	2,602	Jan 23, 2015	Universal Pictures	Blumhouse Productions
27	Ouija: Origin of Evil	$35,144,505	3,168	$14,065,500	3,167	Oct 21, 2016	Universal Pictures	Blumhouse Productions
28	Unfriended	$32,482,090	2,775	$15,845,115	2,739	Apr 17, 2015	Universal Pictures	Blumhouse Productions
29	Paranormal Activity: The Marked Ones	$32,462,372	2,883	$18,343,611	2,867	Jan 3, 2014	Paramount Pictures	Blumhouse Productions
30	Happy Death Day 2U	$28,148,130	3,212	$9,497,665	3,207	Feb 13, 2019	Universal Pictures	Blumhouse Productions
31	Sinister 2	$27,740,955	2,799	$10,542,116	2,766	Aug 21, 2015	Focus Features	Blumhouse Productions
32	Fantasy Island	$26,441,782	2,784	$12,310,420	2,784	Feb 14, 2020	Sony Pictures Releasing	Blumhouse Productions
33	The Lazarus Effect	$25,801,570	2,666	$10,203,437	2,666	Feb 27, 2015	Relativity Media	Blumhouse Productions
34	The Gallows	$22,764,410	2,720	$9,808,463	2,720	Jul 10, 2015	Warner Bros.	Blumhouse Productions
35	Paranormal Activity: The Ghost Dimension	$18,300,124	1,656	$8,070,493	1,656	Oct 23, 2015	Paramount Pictures	Blumhouse Productions
36	Dark Skies	$17,418,667	2,313	$8,189,166	2,313	Feb 22, 2013	-	Blumhouse Productions
37	Whiplash	$13,092,000	567	$135,388	6	Oct 10, 2014	Sony Pictures Classics	Blumhouse Productions
38	The Darkness	$10,753,574	1,769	$4,950,859	1,755	May 13, 2016	BH Tilt	Blumhouse Productions
39	Black Christmas	$10,429,730	2,625	$4,240,245	2,625	Dec 13, 2019	Universal Pictures	Blumhouse Productions
40	Birth of the Dragon	$6,901,965	1,633	$2,702,430	1,618	Aug 25, 2017	BH Tilt	Blumhouse Productions
41	Lowriders	$6,303,560	365	$2,403,885	295	May 12, 2017	BH Tilt	Blumhouse Productions
42	Don't Let Go	$5,215,062	922	$2,338,669	922	Aug 30, 2019	-	Blumhouse Productions
43	Incarnate	$4,799,774	1,737	$2,534,884	1,737	Dec 2, 2016	BH Tilt	Blumhouse Productions
44	Sleight	$3,986,245	591	$1,701,785	565	Apr 28, 2017	BH Tilt	Blumhouse Productions
45	Jem and the Holograms	$2,184,640	2,417	$1,375,320	2,413	Oct 23, 2015	Universal Pictures	Blumhouse Productions
46	Be Here Now	$22,424	11	$13,577	11	Apr 8, 2016	Tugg	Blumhouse Productions
47	Amityville: The Awakening	$742	10	$742	10	Oct 28, 2017	-	Blumhouse Productions
