Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	300	$210,614,939	3,280	$70,885,301	3,103	Mar 9, 2007	Warner Bros.	Dark Horse Comics
2	The Mask	$119,938,730	2,516	$23,117,068	2,360	Jul 29, 1994	New Line Cinema	Dark Horse Comics
3	300: Rise of an Empire	$106,580,051	3,490	$45,038,460	3,470	Mar 7, 2014	Warner Bros.	Dark Horse Comics
4	Alien vs. Predator	$80,282,231	3,401	$38,291,056	3,395	August 13, 2004	Twentieth Century Fox	Dark Horse Comics
5	Hellboy II: The Golden Army	$75,986,503	3,212	$34,539,115	3,204	Jul 11, 2008	Universal Pictures	Dark Horse Comics
6	Sin City	$74,103,820	3,230	$28,100,000	3,230	April 1, 2005	Dimension Films	Dark Horse Comics
7	Hellboy	$59,623,958	3,043	$23,172,440	3,028	Apr 2, 2004	Revolution Studios	Dark Horse Comics
8	Timecop	$44,853,581	2,274	$12,064,625	2,228	Sep 16, 1994	Universal Pictures	Dark Horse Comics
9	Aliens vs. Predator: Requiem	$41,797,066	2,617	$10,059,425	2,611	Dec 25, 2007	Twentieth Century Fox	Dark Horse Comics
10	R.I.P.D.	$33,618,855	2,852	$12,691,415	2,852	Jul 19, 2013	Universal Pictures	Dark Horse Comics
11	Mystery Men	$29,762,011	2,142	$10,017,865	2,136	Aug 6, 1999	Universal Pictures	Dark Horse Comics
12	Hellboy	$21,903,748	3,303	$12,045,147	3,303	April 12, 2019	Lionsgate	Dark Horse Comics
13	Son of the Mask	$17,018,422	2,966	$7,700,000	2,966	Feb 18, 2005	New Line Cinema	Dark Horse Comics
14	Virus	$14,036,005	2,018	$6,013,640	2,018	Jan 15, 1999	Universal Pictures	Dark Horse Comics
15	Sin City: A Dame to Kill For	$13,757,804	2,894	$6,317,683	2,894	Aug 22, 2014	-	Dark Horse Comics
16	Barb Wire	$3,793,614	1,312	$1,844,426	1,312	May 3, 1996	Gramercy Pictures (I)	Dark Horse Comics
