Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	The Dark Knight	$533,345,358	4,366	$158,411,483	4,366	Jul 18, 2008	Warner Bros.	DC Comics
2	The Dark Knight Rises	$448,139,099	4,404	$160,887,295	4,404	Jul 20, 2012	Warner Bros.	DC Comics
3	Wonder Woman	$412,563,408	4,165	$103,251,471	4,165	Jun 2, 2017	Warner Bros.	DC Comics
4	Joker	$335,451,311	4,374	$96,202,337	4,374	October 4, 2019	Warner Bros.	DC Comics
5	Aquaman	$335,061,807	4,184	$67,873,522	4,125	Dec 21, 2018	Warner Bros.	DC Comics
6	Batman v Superman: Dawn of Justice	$330,360,194	4,256	$166,007,347	4,242	March 25, 2016	Warner Bros.	DC Comics
7	Suicide Squad	$325,100,054	4,255	$133,682,248	4,255	Aug 5, 2016	Warner Bros.	DC Comics
8	Man of Steel	$291,045,518	4,207	$116,619,362	4,207	Jun 14, 2013	Warner Bros.	DC Comics
9	Batman	$251,188,924	2,201	$40,489,746	2,194	Jun 23, 1989	Warner Bros.	DC Comics
10	Justice League	$229,024,295	4,051	$93,842,239	4,051	Nov 17, 2017	Warner Bros.	DC Comics
11	Batman Begins	$205,343,774	3,858	$48,745,440	3,858	Jun 15, 2005	Warner Bros.	DC Comics
12	Superman Returns	$200,081,192	4,065	$52,535,096	4,065	June 28, 2006	Warner Bros.	DC Comics
13	Batman Forever	$184,031,112	2,893	$52,784,433	2,842	Jun 16, 1995	Warner Bros.	DC Comics
14	The Lego Batman Movie	$175,750,384	4,088	$53,003,468	4,088	Feb 10, 2017	Warner Bros.	DC Comics
15	Batman Returns	$162,831,698	2,644	$45,687,711	2,644	Jun 19, 1992	Warner Bros.	DC Comics
16	Shazam!	$140,371,656	4,306	$53,505,326	4,217	April 5, 2019	Warner Bros.	DC Comics
17	Superman	$134,218,018	817	$7,465,343	508	Dec 15, 1978	Warner Bros.	DC Comics
18	Green Lantern	$116,601,172	3,816	$53,174,303	3,816	Jun 17, 2011	Warner Bros.	DC Comics
19	Superman II	$108,185,706	1,878	$14,100,523	1,397	Jun 19, 1981	Warner Bros.	DC Comics
20	Watchmen	$107,509,799	3,611	$55,214,334	3,611	Mar 6, 2009	Warner Bros.	DC Comics
21	Batman & Robin	$107,325,195	2,942	$42,872,605	2,934	Jun 20, 1997	Warner Bros.	DC Comics
22	RED	$90,380,162	3,349	$21,761,408	3,255	Oct 15, 2010	Summit Entertainment	DC Comics
23	Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn	$84,158,461	4,236	$33,010,017	4,236	Feb 7, 2020	Warner Bros.	DC Comics
24	Constantine	$75,976,178	3,006	$29,769,098	3,006	Feb 18, 2005	Warner Bros.	DC Comics
25	V for Vendetta	$70,511,035	3,365	$25,642,340	3,365	March 17, 2006	Warner Bros.	DC Comics
26	Superman III	$59,950,623	1,763	$13,352,357	1,759	Jun 17, 1983	Warner Bros.	DC Comics
27	RED 2	$53,262,560	3,016	$18,048,422	3,016	Jul 19, 2013	Lionsgate	DC Comics
28	Catwoman	$40,202,379	3,117	$16,728,411	3,117	Jul 23, 2004	Warner Bros.	DC Comics
29	Teen Titans GO! to the Movies	$29,790,236	3,188	$10,411,189	3,188	Jul 27, 2018	Warner Bros.	DC Comics
30	The Losers	$23,591,432	2,936	$9,406,348	2,936	Apr 23, 2010	Warner Bros.	DC Comics
31	Superman IV: The Quest for Peace	$15,681,020	1,511	$5,683,122	1,511	Jul 24, 1987	Warner Bros.	DC Comics
32	Supergirl	$14,296,438	1,620	$5,738,249	1,608	Nov 21, 1984	TriStar Pictures	DC Comics
33	Jonah Hex	$10,547,117	2,825	$5,379,365	2,825	Jun 18, 2010	Warner Bros.	DC Comics
34	Batman: Mask of the Phantasm	$5,617,391	1,506	$1,189,975	1,506	Dec 25, 1993	Warner Bros.	DC Comics
35	Steel	$1,710,972	1,260	$870,068	1,260	Aug 15, 1997	Warner Bros.	DC Comics
36	The Dark Knight2012 Re-release	$1,513,086	-	-	-	Jul 19, 2012	Warner Bros.	DC Comics
37	Batman Begins2012 Re-release	$1,508,658	-	-	-	Jul 19, 2012	Warner Bros.	DC Comics
38	The Dark Knight2018 Re-release	$375,589	-	-	-	Aug 24, 2018	Warner Bros.	DC Comics
39	Superman2018 Re-release	$233,585	394	$102,223	394	Nov 25, 2018	Fathom Events	DC Comics
40	Batman2019 Re-release	$159,419	489	$159,419	489	May 4, 2019	Fathom Events	DC Comics
41	Batman Returns2019 Re-release	$70,642	507	-	-	May 6, 2019	Fathom Events	DC Comics
42	Batman Forever2019 Re-release	$38,014	434	$38,014	434	May 12, 2019	Fathom Events	DC Comics
43	Batman & Robin2019 Re-release	$28,597	429	-	-	May 14, 2019	Fathom Events	DC Comics
44	Batman: Mask of the Phantasm2018 Re-release	$17,813	761	-	-	Nov 12, 2018	Fathom Events	DC Comics
