Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Transformers: Revenge of the Fallen	$402,111,870	4,293	$108,966,307	4,234	Jun 24, 2009	DreamWorks	Hasbro
2	Transformers: Dark of the Moon	$352,390,543	4,088	$97,852,865	4,088	Jun 29, 2011	DreamWorks	Hasbro
3	Transformers	$319,246,193	4,050	$70,502,384	4,011	Jul 3, 2007	DreamWorks	Hasbro
4	Transformers: Age of Extinction	$245,439,076	4,233	$100,038,390	4,233	June 27, 2014	Paramount Pictures	Hasbro
5	G.I. Joe: The Rise of Cobra	$150,201,498	4,007	$54,713,046	4,007	Aug 7, 2009	Paramount Pictures	Hasbro
6	Transformers: The Last Knight	$130,168,683	4,132	$44,680,073	4,069	June 21, 2017	Paramount Pictures	Hasbro
7	Bumblebee	$127,195,589	3,597	$21,654,047	3,550	Dec 21, 2018	Paramount Pictures	Hasbro
8	G.I. Joe: Retaliation	$122,523,060	3,734	$40,501,814	3,719	Mar 28, 2013	Paramount Pictures	Hasbro
9	Battleship	$65,422,625	3,702	$25,534,825	3,690	May 18, 2012	Universal Pictures	Hasbro
10	Ouija	$50,856,010	2,899	$19,875,995	2,858	Oct 24, 2014	Universal Pictures	Hasbro
11	Ouija: Origin of Evil	$35,144,505	3,168	$14,065,500	3,167	Oct 21, 2016	Universal Pictures	Hasbro
12	My Little Pony: The Movie	$21,885,107	2,528	$8,885,899	2,528	October 6, 2017	Lionsgate	Hasbro
13	Clue	$14,643,997	1,022	$2,014,166	1,006	Dec 13, 1985	Paramount Pictures	Hasbro
14	My Little Pony: The Movie	$5,958,456	1,003	$416,108	421	Jun 6, 1986	De Laurentiis Entertainment Group (DEG)	Hasbro
15	The Transformers: The Movie	$5,849,647	990	$1,779,559	990	Aug 8, 1986	De Laurentiis Entertainment Group (DEG)	Hasbro
16	Jem and the Holograms	$2,184,640	2,417	$1,375,320	2,413	October 23, 2015	Universal Pictures	Hasbro
