Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Incredibles 2	$608,581,744	4,410	$182,687,905	4,410	Jun 15, 2018	Walt Disney Studios Motion Pictures	Pixar
2	Finding Dory	$486,295,561	4,305	$135,060,273	4,305	Jun 17, 2016	Walt Disney Studios Motion Pictures	Pixar
3	Toy Story 4	$434,038,008	4,575	$120,908,065	4,575	Jun 21, 2019	Walt Disney Studios Motion Pictures	Pixar
4	Toy Story 3	$415,004,880	4,028	$110,307,189	4,028	June 18, 2010	Walt Disney Studios Motion Pictures	Pixar
5	Inside Out	$356,461,711	4,158	$90,440,272	3,946	Jun 19, 2015	Walt Disney Studios Motion Pictures	Pixar
6	Finding Nemo	$339,714,978	3,425	$70,251,710	3,374	May 30, 2003	Walt Disney Studios Motion Pictures	Pixar
7	Up	$293,004,164	3,886	$68,108,790	3,766	May 29, 2009	Walt Disney Studios Motion Pictures	Pixar
8	Monsters University	$268,492,764	4,004	$82,429,469	4,004	Jun 21, 2013	Walt Disney Studios Motion Pictures	Pixar
9	The Incredibles	$261,441,092	3,933	$70,467,623	3,933	Nov 5, 2004	Walt Disney Studios Motion Pictures	Pixar
10	Monsters, Inc.	$255,873,250	3,649	$62,577,067	3,237	Nov 2, 2001	Walt Disney Studios Motion Pictures	Pixar
11	Toy Story 2	$245,852,179	3,257	$300,163	1	Nov 19, 1999	Walt Disney Studios Motion Pictures	Pixar
12	Cars	$244,082,982	3,988	$60,119,509	3,985	June 9, 2006	Walt Disney Studios Motion Pictures	Pixar
13	Brave	$237,283,207	4,164	$66,323,594	4,164	Jun 22, 2012	Walt Disney Studios Motion Pictures	Pixar
14	WALL·E	$223,808,164	3,992	$63,087,526	3,992	Jun 27, 2008	Walt Disney Studios Motion Pictures	Pixar
15	Coco	$209,726,015	3,987	$50,802,605	3,987	Nov 22, 2017	Walt Disney Studios Motion Pictures	Pixar
16	Ratatouille	$206,445,654	3,940	$47,027,395	3,940	June 29, 2007	Walt Disney Studios Motion Pictures	Pixar
17	Toy Story	$191,796,233	2,574	$29,140,617	2,457	Nov 22, 1995	Walt Disney Studios Motion Pictures	Pixar
18	Cars 2	$191,452,396	4,115	$66,135,507	4,115	Jun 24, 2011	Walt Disney Studios Motion Pictures	Pixar
19	A Bug's Life	$162,798,565	2,773	$291,121	1	Nov 20, 1998	Walt Disney Studios Motion Pictures	Pixar
20	Cars 3	$152,901,115	4,256	$53,688,680	4,256	Jun 16, 2017	Walt Disney Studios Motion Pictures	Pixar
21	The Good Dinosaur	$123,087,120	3,749	$39,155,217	3,749	Nov 25, 2015	Walt Disney Studios Motion Pictures	Pixar
22	Onward	$61,555,145	4,310	$39,119,861	4,310	Mar 6, 2020	Walt Disney Studios Motion Pictures	Pixar
23	Finding Nemo2012 3D Release	$41,128,283	2,904	$16,687,773	2,904	Sep 14, 2012	Walt Disney Studios Motion Pictures	Pixar
24	Monsters, Inc.2012 3D Release	$34,043,006	2,618	$4,774,686	2,618	Dec 19, 2012	Walt Disney Studios Motion Pictures	Pixar
25	Toy Story2009 Re-release	$30,702,446	1,752	$12,491,789	1,745	October 2, 2009	Walt Disney Studios Motion Pictures	Pixar
