Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Bridesmaids	$169,106,725	2,958	$26,247,410	2,918	May 13, 2011	Universal Pictures	Saturday Night Live - Alumni Debuts
2	National Lampoon's Animal House	$120,091,123	12	$276,538	12	Jul 28, 1978	Universal Pictures	Saturday Night Live - Alumni Debuts
3	48 Hrs.	$78,868,508	1,050	$4,369,868	850	Dec 10, 1982	Paramount Pictures	Saturday Night Live - Alumni Debuts
4	Old School	$75,585,093	2,742	$17,453,216	2,689	February 21, 2003	DreamWorks Distribution	Saturday Night Live - Alumni Debuts
5	Deuce Bigalow: Male Gigolo	$65,538,755	2,162	$12,224,016	2,154	Dec 10, 1999	Walt Disney Studios Motion Pictures	Saturday Night Live - Alumni Debuts
6	Foul Play	$44,999,621	-	-	-	July 19, 1978	Paramount Pictures	Saturday Night Live - Alumni Debuts
7	Meatballs	$43,046,003	7	$77,170	7	Jun 29, 1979	Paramount Pictures	Saturday Night Live - Alumni Debuts
8	Running Scared	$38,500,726	1,376	$5,227,757	1,376	Jun 27, 1986	Metro-Goldwyn-Mayer (MGM)	Saturday Night Live - Alumni Debuts
9	Taxi2004 Re-release	$36,611,066	3,001	$12,029,832	3,001	Oct 6, 2004	Twentieth Century Fox	Saturday Night Live - Alumni Debuts
10	Tommy Boy	$32,679,899	2,186	$8,027,843	2,165	Mar 31, 1995	Paramount Pictures	Saturday Night Live - Alumni Debuts
11	Neighbors	$29,916,207	1,387	$6,481,386	1,387	Dec 18, 1981	Columbia Pictures	Saturday Night Live - Alumni Debuts
12	Houseguest	$26,325,256	1,604	$5,831,302	1,238	January 6, 1995	Walt Disney Studios Motion Pictures	Saturday Night Live - Alumni Debuts
13	Innerspace	$25,893,810	1,603	$4,739,913	1,603	Jul 3, 1987	Warner Bros.	Saturday Night Live - Alumni Debuts
14	Billy Madison	$25,588,734	1,887	$6,639,080	1,834	Feb 10, 1995	Universal Pictures	Saturday Night Live - Alumni Debuts
15	Corky Romano	$23,980,304	2,094	$9,023,173	2,062	Oct 12, 2001	Walt Disney Studios Motion Pictures	Saturday Night Live - Alumni Debuts
16	National Lampoon's Animal House1979 Re-release	$21,508,877	40	$201,747	40	September 21, 1979	Universal Pictures	Saturday Night Live - Alumni Debuts
17	High School High	$21,302,121	2,146	$6,311,786	2,146	Oct 25, 1996	Sony Pictures Releasing	Saturday Night Live - Alumni Debuts
18	CB4	$17,953,778	1,226	$6,122,450	1,204	Mar 12, 1993	Universal Pictures	Saturday Night Live - Alumni Debuts
19	Half Baked	$17,460,020	1,703	$7,722,540	1,701	Jan 16, 1998	Universal Pictures	Saturday Night Live - Alumni Debuts
20	First Family	$15,198,912	563	$3,635,564	563	Dec 25, 1980	Warner Bros.	Saturday Night Live - Alumni Debuts
21	Wholly Moses!	$14,155,617	608	$3,625,280	608	Jun 13, 1980	Columbia Pictures	Saturday Night Live - Alumni Debuts
22	Hot Rod	$13,938,332	2,607	$5,310,711	2,607	Aug 3, 2007	Paramount Pictures	Saturday Night Live - Alumni Debuts
23	Casual Sex?	$12,277,096	1,265	$3,840,032	1,264	Apr 22, 1988	Universal Pictures	Saturday Night Live - Alumni Debuts
24	So I Married an Axe Murderer	$11,585,483	1,355	$3,466,930	1,349	Jul 30, 1993	TriStar Pictures	Saturday Night Live - Alumni Debuts
25	Opportunity Knocks	$11,359,129	1,275	$3,512,625	1,275	March 30, 1990	Universal Pictures	Saturday Night Live - Alumni Debuts
26	Dirty Work	$10,023,282	1,776	$3,634,236	1,776	Jun 12, 1998	Metro-Goldwyn-Mayer (MGM)	Saturday Night Live - Alumni Debuts
27	How to Beat the High Cost of Living	$7,500,000	-	-	-	Jan 1, 1980	-	Saturday Night Live - Alumni Debuts
28	Lost & Found	$6,552,255	2,469	$3,024,709	2,469	Apr 23, 1999	Warner Bros.	Saturday Night Live - Alumni Debuts
29	Bordello of Blood	$5,781,045	1,695	$2,634,170	1,694	Aug 16, 1996	Universal Pictures	Saturday Night Live - Alumni Debuts
30	Taxi	$268,254	-	-	-	Nov 20, 1998	Lionsgate	Saturday Night Live - Alumni Debuts
