Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	Spider-Man: Into the Spider-Verse	$190,241,310	3,813	$35,363,376	3,813	Dec 14, 2018	Sony Pictures Releasing	Sony Pictures Animation
2	Hotel Transylvania 2	$169,700,110	3,768	$48,464,322	3,754	Sep 25, 2015	Sony Pictures Releasing	Sony Pictures Animation
3	Hotel Transylvania 3: Summer Vacation	$167,510,016	4,267	$44,076,225	4,267	Jul 13, 2018	Sony Pictures Releasing	Sony Pictures Animation
4	Hotel Transylvania	$148,313,048	3,375	$42,522,194	3,349	September 28, 2012	Sony Pictures Releasing	Sony Pictures Animation
5	The Smurfs	$142,614,158	3,427	$35,611,637	3,395	Jul 29, 2011	Sony Pictures Releasing	Sony Pictures Animation
6	Cloudy with a Chance of Meatballs	$124,870,275	3,119	$30,304,648	3,119	September 18, 2009	Sony Pictures Releasing	Sony Pictures Animation
7	Cloudy with a Chance of Meatballs 2	$119,793,567	4,001	$34,017,930	4,001	Sep 27, 2013	Sony Pictures Releasing	Sony Pictures Animation
8	Peter Rabbit	$115,253,424	3,725	$25,010,928	3,725	Feb 9, 2018	Sony Pictures Releasing	Sony Pictures Animation
9	The Angry Birds Movie	$107,509,366	3,932	$38,155,177	3,932	May 20, 2016	Sony Pictures Releasing	Sony Pictures Animation
10	The Emoji Movie	$86,089,513	4,075	$24,531,923	4,075	Jul 28, 2017	Sony Pictures Releasing	Sony Pictures Animation
11	Open Season	$85,105,259	3,833	$23,624,548	3,833	Sep 29, 2006	Sony Pictures Releasing	Sony Pictures Animation
12	Goosebumps	$80,080,379	3,618	$23,618,556	3,501	October 16, 2015	Sony Pictures Releasing	Sony Pictures Animation
13	The Smurfs 2	$71,017,784	3,867	$17,548,389	3,866	Jul 31, 2013	Sony Pictures Releasing	Sony Pictures Animation
14	Surf's Up	$58,867,694	3,531	$17,640,249	3,528	Jun 8, 2007	Sony Pictures Releasing	Sony Pictures Animation
15	Goosebumps 2: Haunted Halloween	$46,700,633	3,723	$15,802,225	3,521	Oct 12, 2018	Sony Pictures Releasing	Sony Pictures Animation
16	Arthur Christmas	$46,462,469	3,376	$12,068,931	3,376	November 23, 2011	Sony Pictures Releasing	Sony Pictures Animation
17	Smurfs: The Lost Village	$45,020,282	3,610	$13,210,449	3,610	Apr 7, 2017	Sony Pictures Releasing	Sony Pictures Animation
18	The Angry Birds Movie 2	$41,667,116	3,869	$10,354,073	3,869	Aug 13, 2019	Sony Pictures Releasing	Sony Pictures Animation
19	The Star	$40,852,824	2,976	$9,812,674	2,837	Nov 17, 2017	Sony Pictures Releasing	Sony Pictures Animation
20	The Pirates! Band of Misfits	$31,051,126	3,358	$11,137,734	3,358	Apr 27, 2012	Sony Pictures Releasing	Sony Pictures Animation
21	The Star2019 Re-release	$43,510	623	$43,510	623	Dec 7, 2019	Sony Pictures Releasing	Sony Pictures Animation
