Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Brand
1	It	$327,481,748	4,148	$123,403,419	4,103	Sep 8, 2017	Warner Bros.	Stephen King
2	It Chapter Two	$211,593,228	4,570	$91,062,152	4,570	Sep 6, 2019	Warner Bros.	Stephen King
3	The Green Mile	$136,801,374	2,875	$18,017,152	2,875	Dec 10, 1999	Warner Bros.	Stephen King
4	1408	$71,985,628	2,733	$20,617,667	2,678	June 22, 2007	-	Stephen King
5	Misery	$61,276,872	1,370	$10,076,834	1,244	Nov 30, 1990	Columbia Pictures	Stephen King
6	Pet Sematary	$57,469,467	1,585	$12,046,179	1,585	April 21, 1989	Paramount Pictures	Stephen King
7	Pet Sematary	$54,724,696	3,585	$24,502,775	3,585	Apr 5, 2019	Paramount Pictures	Stephen King
8	Stand by Me	$52,287,414	848	$242,795	16	Aug 8, 1986	Columbia Pictures	Stephen King
9	The Dark Tower	$50,701,325	3,451	$19,153,698	3,451	Aug 4, 2017	Sony Pictures Releasing	Stephen King
10	Secret Window	$48,022,900	3,018	$18,237,568	3,018	Mar 12, 2004	Sony Pictures Releasing	Stephen King
11	The Shining	$44,017,374	10	$622,337	10	May 23, 1980	Warner Bros.	Stephen King
12	The Running Man	$38,122,105	1,694	$8,117,465	1,692	November 13, 1987	TriStar Pictures	Stephen King
13	Carrie	$35,266,619	3,157	$16,101,552	3,157	Oct 18, 2013	Screen Gems	Stephen King
14	Carrie	$33,800,000	-	-	-	Nov 3, 1976	United Artists	Stephen King
15	Dreamcatcher	$33,715,436	2,945	$15,027,423	2,945	Mar 21, 2003	Warner Bros.	Stephen King
16	The Lawnmower Man	$32,100,816	1,318	$7,751,971	1,276	March 6, 1992	New Line Cinema	Stephen King
17	Doctor Sleep	$31,581,712	3,855	$14,114,124	3,855	Nov 8, 2019	Warner Bros.	Stephen King
18	Sleepwalkers	$30,524,763	1,914	$10,017,354	1,864	Apr 10, 1992	Columbia Pictures	Stephen King
19	The Shawshank Redemption	$28,341,469	972	$727,327	33	Sep 23, 1994	Columbia Pictures	Stephen King
20	The Mist	$25,594,957	2,423	$8,931,973	2,423	Nov 21, 2007	-	Stephen King
21	Dolores Claiborne	$24,361,867	1,256	$5,721,920	1,216	Mar 24, 1995	Sony Pictures Releasing	Stephen King
22	Hearts in Atlantis	$24,185,781	2,010	$9,021,494	1,751	Sep 28, 2001	Warner Bros.	Stephen King
23	Cujo	$21,156,152	1,293	$6,114,899	1,239	Aug 12, 1983	Warner Bros.	Stephen King
24	Creepshow	$21,028,755	1,132	$5,870,889	1,127	Nov 12, 1982	Warner Bros.	Stephen King
25	Christine	$21,017,849	1,101	$3,408,904	1,045	December 9, 1983	Columbia Pictures	Stephen King
26	The Dead Zone	$20,766,616	1,293	$4,556,083	1,293	Oct 21, 1983	Paramount Pictures	Stephen King
27	The Rage: Carrie 2	$17,762,705	2,286	$7,065,123	2,286	Mar 12, 1999	Metro-Goldwyn-Mayer (MGM)	Stephen King
28	Pet Sematary II	$17,092,453	1,852	$4,825,100	1,852	Aug 28, 1992	Paramount Pictures	Stephen King
29	Firestarter	$17,080,167	1,374	$4,726,660	1,356	May 11, 1984	Universal Pictures	Stephen King
30	Tales from the Darkside	$16,324,573	1,535	$5,028,096	1,535	May 4, 1990	Paramount Pictures	Stephen King
31	Thinner	$15,315,484	2,009	$5,679,046	2,009	Oct 25, 1996	Paramount Pictures	Stephen King
32	Needful Things	$15,185,672	1,986	$5,202,478	1,963	Aug 27, 1993	Columbia Pictures	Stephen King
33	Children of the Corn	$14,568,989	653	$2,042,821	350	Mar 9, 1984	New World Pictures	Stephen King
34	Cat's Eye	$13,086,298	1,492	$3,451,191	1,460	Apr 12, 1985	Metro-Goldwyn-Mayer (MGM)	Stephen King
35	Silver Bullet	$12,361,866	1,285	$4,013,563	1,285	Oct 11, 1985	Paramount Pictures	Stephen King
36	Graveyard Shift	$11,582,891	1,603	$5,082,300	1,603	Oct 26, 1990	Paramount Pictures	Stephen King
37	The Dark Half	$10,611,160	1,563	$3,250,883	1,563	Apr 23, 1993	Orion Pictures	Stephen King
38	Apt Pupil	$8,863,193	1,448	$3,583,151	1,448	Oct 23, 1998	Sony Pictures Releasing	Stephen King
39	Maximum Overdrive	$7,433,663	1,198	$3,205,644	1,198	Jul 25, 1986	De Laurentiis Entertainment Group (DEG)	Stephen King
40	Children of the Corn II: The Final Sacrifice	$6,980,986	963	$2,719,750	946	Jan 29, 1993	Miramax	Stephen King
41	Lawnmower Man 2: Beyond Cyberspace	$2,409,225	1,589	$1,428,658	1,589	Jan 12, 1996	New Line Cinema	Stephen King
42	The Mangler	$1,781,383	800	$933,809	800	Mar 3, 1995	New Line Cinema	Stephen King
43	It2019 Re-release	$1,347,126	-	-	-	Aug 3, 2019	Warner Bros.	Stephen King
44	The Shining2019 Re-release	$551,257	-	-	-	Sep 1, 2019	Warner Bros.	Stephen King
45	The Shining2017 Re-release	$421,572	-	-	-	Oct 31, 2018	Warner Bros.	Stephen King
46	The Shawshank Redemption2019 Re-release	$358,507	669	$183,128	669	Sep 22, 2019	Fathom Events	Stephen King
47	The Shining2012 Re-release	$342,749	-	-	-	Oct 7, 2013	Warner Bros.	Stephen King
48	Riding the Bullet	$134,711	108	$101,107	100	Oct 15, 2004	Innovation Film Group (IFG)	Stephen King
49	The Night Flier	$125,397	95	$91,549	95	Feb 6, 1998	New Line Cinema	Stephen King
