Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	Wonder Woman	$412,563,408	4,165	$103,251,471	4,165	Jun 2, 2017	Warner Bros.	DC Extended Universe
2	Aquaman	$335,061,807	4,184	$67,873,522	4,125	Dec 21, 2018	Warner Bros.	DC Extended Universe
3	Batman v Superman: Dawn of Justice	$330,360,194	4,256	$166,007,347	4,242	Mar 25, 2016	Warner Bros.	DC Extended Universe
4	Suicide Squad	$325,100,054	4,255	$133,682,248	4,255	August 5, 2016	Warner Bros.	DC Extended Universe
5	Man of Steel	$291,045,518	4,207	$116,619,362	4,207	Jun 14, 2013	Warner Bros.	DC Extended Universe
6	Justice League	$229,024,295	4,051	$93,842,239	4,051	November 17, 2017	Warner Bros.	DC Extended Universe
7	Shazam!	$140,371,656	4,306	$53,505,326	4,217	Apr 5, 2019	Warner Bros.	DC Extended Universe
8	Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn	$84,158,461	4,236	$33,010,017	4,236	Feb 7, 2020	Warner Bros.	DC Extended Universe
-	Wonder Woman 1984	-	-	-	-	Aug 14, 2020	Warner Bros.	DC Extended Universe
-	Aquaman 2	-	-	-	-	Dec 16, 2022	Warner Bros.	DC Extended Universe
-	The Suicide Squad	-	-	-	-	Aug 6, 2021	Warner Bros.	DC Extended Universe
-	Black Adam	-	-	-	-	December 22, 2021	Warner Bros.	DC Extended Universe
-	Untitled Shazam! Sequel	-	-	-	-	Apr 1, 2022	Warner Bros.	DC Extended Universe
