Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	The Lion King	$543,638,043	4,802	$191,770,759	4,725	Jul 19, 2019	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
2	Beauty and the Beast	$504,014,165	4,210	$174,750,616	4,210	Mar 17, 2017	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
3	The Jungle Book	$364,001,123	4,144	$103,261,464	4,028	Apr 15, 2016	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
4	Aladdin	$355,559,216	4,476	$91,500,929	4,476	May 24, 2019	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
5	Alice in Wonderland	$334,191,110	3,739	$116,101,023	3,728	Mar 5, 2010	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
6	Maleficent	$241,410,378	3,948	$69,431,298	3,948	May 30, 2014	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
7	Oz the Great and Powerful	$234,911,825	3,912	$79,110,453	3,912	Mar 8, 2013	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
8	Cinderella	$201,151,353	3,848	$67,877,361	3,845	Mar 13, 2015	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
9	101 Dalmatians	$136,189,294	2,901	$33,504,025	2,794	Nov 27, 1996	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
10	Dumbo	$114,766,307	4,259	$45,990,748	4,259	Mar 29, 2019	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
11	Maleficent: Mistress of Evil	$113,929,605	3,820	$36,948,713	3,790	Oct 18, 2019	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
12	Alice Through the Looking Glass	$77,041,381	3,763	$26,858,726	3,763	May 27, 2016	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
13	Pete's Dragon	$76,233,151	3,702	$21,514,095	3,702	Aug 12, 2016	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
14	102 Dalmatians	$66,957,026	2,704	$19,883,351	2,704	Nov 22, 2000	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
15	The Jungle Book	$43,229,904	2,012	$5,129,959	1,880	Dec 25, 1994	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
-	Cruella	-	-	-	-	May 28, 2021	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
-	Mulan	-	-	-	-	Jul 24, 2020	Walt Disney Studios Motion Pictures	Disney Live Action Reimaginings
