Rank	Release	Lifetime Gross	Max Theaters	Opening	Open Th	Release Date	Distributor	Franchise
1	The Lord of the Rings: The Return of the King	$377,027,325	3,703	$72,629,713	3,703	Dec 17, 2003	New Line Cinema	Middle Earth
2	The Lord of the Rings: The Two Towers	$339,789,881	3,622	$62,007,528	3,622	Dec 18, 2002	New Line Cinema	Middle Earth
3	The Lord of the Rings: The Fellowship of the Ring	$313,364,114	3,381	$47,211,490	3,359	Dec 19, 2001	New Line Cinema	Middle Earth
4	The Hobbit: An Unexpected Journey	$303,003,568	4,100	$84,617,303	4,045	December 14, 2012	Warner Bros.	Middle Earth
5	The Hobbit: The Desolation of Smaug	$258,366,855	3,928	$73,645,197	3,903	Dec 13, 2013	Warner Bros.	Middle Earth
6	The Hobbit: The Battle of the Five Armies	$255,119,788	3,875	$54,724,334	3,875	December 17, 2014	Warner Bros.	Middle Earth
7	The Lord of the Rings: The Two Towers2003 Re-release	$1,996,877	126	$727,645	126	Dec 12, 2003	New Line Cinema	Middle Earth
8	The Lord of the Rings: The Fellowship of the Ring2003 Extended Edition	$1,412,056	126	$473,463	126	Dec 5, 2003	New Line Cinema	Middle Earth
9	The Lord of the Rings: The Return of the King2011 Re-release	$818,580	521	-	-	Jun 28, 2011	Warner Bros.	Middle Earth
10	The Lord of the Rings: The Fellowship of the Ring2011 Re-release	$768,580	522	-	-	Jun 14, 2011	Warner Bros.	Middle Earth
11	The Lord of the Rings: The Two Towers2011 Re-release	$764,607	522	-	-	Jun 21, 2011	Warner Bros.	Middle Earth
